/		CG-6 Survey
/		Survey Name:	TEST-CITG
/		Instrument Serial Number:	000000019090203
/		Created:	2020-08-20 12:42:52
/
/		CG-6 Calibration
/		Operator:	REUDINK
/		Gcal1 [mGal]:	7686.213000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.031264
/		Y Scale [arc-sec/ADU]:	0.030724
/		X Offset [ADU]:	-271515.766753
/		Y Offset [ADU]:	-255786.363675
/		Temperature Coefficient [mGal/mK]:	-0.120000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.049082
/		Drift Zero Time:	2019-09-12 10:10:39
/		Firmware Version:	CG6_2_20190125
/
Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
10	2020-08-20	12:42:52	5149.3690	0	0.1366	0.0176	5166.0204	-1.4	2.5	1.0054	0.0671	0.0001	0.1216	-16.8402	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
10	2020-08-20	12:43:52	5149.3683	0	0.1134	0.0146	5166.0202	-0.9	2.0	1.0084	0.0671	0.0001	0.1211	-16.8402	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
10	2020-08-20	12:44:52	5149.3687	0	0.1514	0.0196	5166.0203	-0.4	3.2	1.0168	0.0670	0.0002	0.1215	-16.8402	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
10	2020-08-20	12:45:52	5149.3673	0	0.1357	0.0175	5166.0187	-2.2	3.3	1.0172	0.0670	0.0003	0.1216	-16.8403	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
10	2020-08-20	12:46:52	5149.3690	0	0.1421	0.0183	5166.0201	-2.7	3.0	1.0118	0.0670	0.0003	0.1219	-16.8403	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
10	2020-08-20	12:47:52	5149.3679	0	0.1607	0.0207	5166.0190	-1.8	3.8	1.0121	0.0669	0.0003	0.1220	-16.8403	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
10	2020-08-20	12:48:52	5149.3676	0	0.1521	0.0196	5166.0186	-2.4	3.6	1.0154	0.0669	0.0003	0.1221	-16.8404	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
10	2020-08-20	12:49:52	5149.3680	0	0.1382	0.0178	5166.0192	-3.7	2.8	1.0228	0.0668	0.0002	0.1222	-16.8404	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
10	2020-08-20	12:50:52	5149.3683	0	0.1541	0.0199	5166.0196	-3.6	3.5	1.0131	0.0668	0.0004	0.1220	-16.8404	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
10	2020-08-20	12:51:52	5149.3690	0	0.1157	0.0149	5166.0203	-3.6	3.0	1.0177	0.0667	0.0003	0.1222	-16.8405	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
10	2020-08-20	12:52:52	5149.3681	0	0.1213	0.0157	5166.0194	-4.3	4.1	1.0115	0.0667	0.0003	0.1223	-16.8405	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
10	2020-08-20	12:53:52	5149.3689	0	0.1227	0.0158	5166.0201	-5.8	3.9	1.0267	0.0666	0.0006	0.1221	-16.8405	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
10	2020-08-20	12:54:52	5149.3681	0	0.1517	0.0196	5166.0194	-4.7	4.0	1.0195	0.0665	0.0004	0.1223	-16.8406	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
10	2020-08-20	12:55:52	5149.3688	0	0.1502	0.0194	5166.0200	-6.8	3.9	1.0149	0.0665	0.0007	0.1222	-16.8406	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
10	2020-08-20	12:56:52	5149.3664	0	0.1420	0.0183	5166.0175	-6.6	4.1	1.0151	0.0664	0.0008	0.1224	-16.8406	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
40	2020-08-20	13:15:20	5142.2119	0	0.1312	0.0169	5158.8657	0.0	2.2	1.0249	0.0640	0.0001	0.1234	-16.8413	60	0.000	51.999170	4.375376	20.20	--	--	--	11011
40	2020-08-20	13:16:20	5142.2150	0	0.1385	0.0179	5158.8687	0.8	2.9	1.0310	0.0638	0.0001	0.1237	-16.8413	60	0.000	51.999170	4.375376	20.20	--	--	--	11011
40	2020-08-20	13:17:20	5142.2155	0	0.1366	0.0176	5158.8694	2.2	4.2	1.0274	0.0636	0.0002	0.1237	-16.8413	60	0.000	51.999170	4.375376	20.20	--	--	--	11011
40	2020-08-20	13:18:20	5142.2148	0	0.1461	0.0189	5158.8690	1.1	4.4	1.0202	0.0634	0.0003	0.1235	-16.8414	60	0.000	51.999170	4.375376	20.20	--	--	--	11011
40	2020-08-20	13:19:20	5142.2168	0	0.1221	0.0158	5158.8713	0.6	3.8	1.0233	0.0632	0.0002	0.1235	-16.8414	60	0.000	51.999170	4.375376	20.20	--	--	--	11011
40	2020-08-20	13:20:20	5142.2158	0	0.1196	0.0154	5158.8704	1.2	4.7	1.0318	0.0630	0.0004	0.1234	-16.8414	60	0.000	51.999170	4.375376	20.20	--	--	--	11011
40	2020-08-20	13:21:20	5142.2156	0	0.1224	0.0158	5158.8706	1.8	3.8	1.0373	0.0628	0.0003	0.1234	-16.8415	60	0.000	51.999170	4.375376	20.20	--	--	--	11011
40	2020-08-20	13:22:20	5142.2171	0	0.1174	0.0152	5158.8721	-0.2	4.6	1.0277	0.0626	0.0004	0.1235	-16.8415	60	0.000	51.999170	4.375376	20.20	--	--	--	11011
40	2020-08-20	13:23:20	5142.2165	0	0.1123	0.0145	5158.8716	-0.6	3.8	1.0321	0.0624	0.0002	0.1238	-16.8415	60	0.000	51.999170	4.375376	20.20	--	--	--	11011
40	2020-08-20	13:24:20	5142.2162	0	0.1531	0.0198	5158.8716	0.0	5.2	1.0372	0.0622	0.0003	0.1236	-16.8416	60	0.000	51.999170	4.375376	20.20	--	--	--	11011
40	2020-08-20	13:25:20	5142.2166	0	0.1169	0.0151	5158.8722	0.8	4.0	1.0382	0.0620	0.0002	0.1238	-16.8416	60	0.000	51.999170	4.375376	20.20	--	--	--	11011
40	2020-08-20	13:26:20	5142.2164	0	0.1461	0.0189	5158.8721	1.1	4.1	1.0274	0.0617	0.0003	0.1239	-16.8416	60	0.000	51.999170	4.375376	20.20	--	--	--	11011
40	2020-08-20	13:27:20	5142.2149	0	0.1276	0.0165	5158.8708	-0.2	3.8	1.0413	0.0615	0.0002	0.1240	-16.8417	60	0.000	51.999170	4.375376	20.20	--	--	--	11011
40	2020-08-20	13:28:20	5142.2156	0	0.1306	0.0169	5158.8719	-0.6	3.8	1.0233	0.0613	0.0002	0.1240	-16.8417	60	0.000	51.999170	4.375376	20.20	--	--	--	11011
40	2020-08-20	13:29:20	5142.2154	0	0.1428	0.0184	5158.8714	-0.4	3.8	1.0468	0.0610	0.0002	0.1245	-16.8418	60	0.000	51.999170	4.375376	20.20	--	--	--	11011
10	2020-08-20	13:42:25	5149.3645	0	0.1124	0.0145	5166.0236	-2.7	-0.1	1.0530	0.0575	0.0001	0.1255	-16.8422	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
10	2020-08-20	13:43:25	5149.3635	0	0.1499	0.0193	5166.0231	-3.5	0.5	1.0447	0.0572	0.0002	0.1253	-16.8422	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
10	2020-08-20	13:44:25	5149.3636	0	0.1347	0.0174	5166.0234	-2.9	0.3	1.0430	0.0569	0.0001	0.1254	-16.8423	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
10	2020-08-20	13:45:25	5149.3626	0	0.1346	0.0174	5166.0230	-3.7	1.4	1.0579	0.0566	0.0002	0.1252	-16.8423	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
10	2020-08-20	13:46:25	5149.3614	0	0.1369	0.0177	5166.0224	-3.1	0.6	1.0409	0.0563	0.0001	0.1250	-16.8423	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
10	2020-08-20	13:47:25	5149.3612	0	0.1298	0.0168	5166.0227	-3.0	0.1	1.0375	0.0559	0.0001	0.1248	-16.8424	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
10	2020-08-20	13:48:25	5149.3623	0	0.1536	0.0198	5166.0243	-2.6	1.2	1.0361	0.0556	0.0002	0.1247	-16.8424	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
10	2020-08-20	13:49:25	5149.3622	0	0.1349	0.0174	5166.0243	-3.7	2.6	1.0417	0.0553	0.0002	0.1247	-16.8424	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
10	2020-08-20	13:50:25	5149.3602	0	0.1584	0.0205	5166.0227	-4.5	2.0	1.0359	0.0550	0.0003	0.1247	-16.8425	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
10	2020-08-20	13:51:25	5149.3617	0	0.1309	0.0169	5166.0247	-4.1	1.3	1.0477	0.0546	0.0003	0.1246	-16.8425	60	0.000	51.999170	4.375376	-4.70	--	--	--	11011
